INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-08-16T06:00:00-00:00,2022-08-16T06:15:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,94.74772,1,1
2022-08-16T06:15:00-00:00,2022-08-16T06:30:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,94.43222,2,1
2022-08-16T06:30:00-00:00,2022-08-16T06:45:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,89.30073,3,1
2022-08-16T06:45:00-00:00,2022-08-16T07:00:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,LMP,LMP_PRC,SANYSDRO_6_N001,ALL,1,84.55355,4,1
2022-08-16T06:00:00-00:00,2022-08-16T06:15:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,1.27215,1,2
2022-08-16T06:15:00-00:00,2022-08-16T06:30:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,1.302,2,2
2022-08-16T06:30:00-00:00,2022-08-16T06:45:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,0.65541,3,2
2022-08-16T06:45:00-00:00,2022-08-16T07:00:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCC,LMP_CONG_PRC,SANYSDRO_6_N001,ALL,1,0.49786,4,2
2022-08-16T06:00:00-00:00,2022-08-16T06:15:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,84.41756,1,3
2022-08-16T06:15:00-00:00,2022-08-16T06:30:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,83.75773,2,3
2022-08-16T06:30:00-00:00,2022-08-16T06:45:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,79.58105,3,3
2022-08-16T06:45:00-00:00,2022-08-16T07:00:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCE,LMP_ENE_PRC,SANYSDRO_6_N001,ALL,1,75.01624,4,3
2022-08-16T06:00:00-00:00,2022-08-16T06:15:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,9.058,1,4
2022-08-16T06:15:00-00:00,2022-08-16T06:30:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,9.37249,2,4
2022-08-16T06:30:00-00:00,2022-08-16T06:45:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,9.06428,3,4
2022-08-16T06:45:00-00:00,2022-08-16T07:00:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MCL,LMP_LOSS_PRC,SANYSDRO_6_N001,ALL,1,9.03946,4,4
2022-08-16T06:00:00-00:00,2022-08-16T06:15:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,1,5
2022-08-16T06:15:00-00:00,2022-08-16T06:30:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,2,5
2022-08-16T06:30:00-00:00,2022-08-16T06:45:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,3,5
2022-08-16T06:45:00-00:00,2022-08-16T07:00:00-00:00,2022-08-15,24,SANYSDRO_6_N001,SANYSDRO_6_N001,SANYSDRO_6_N001,RTPD,MGHG,LMP_GHG_PRC,SANYSDRO_6_N001,ALL,1,0,4,5
